# BUSCO version is: 2.0 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /bigdata/operations/pkgadmin/opt/linux/centos/7.x/x86_64/pkgs/funannotate/git-live/util/funannotate-BUSCO2.py -i /bigdata/stajichlab/shared/projects/ZyGoLife/CoCulture/annotate/funannot/predict_misc/genome.softmasked.fa -o piptocephalis_tieghemiana_rsa_1565 -l /opt/linux/centos/7.x/x86_64/pkgs/funannotate/git-live/DB/fungi_odb9/ -m genome -c 24 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG092C00SU	Fragmented	scaffold_12	4646	13191	173.7	344
EOG092C00WD	Complete	scaffold_340	2398	10296	1409.3	1065
EOG092C02J3	Complete	scaffold_283	18487	26380	1314.9	1278
EOG092C038B	Complete	scaffold_438	6138	11897	477.3	525
EOG092C03KT	Complete	scaffold_155	26047	27943	236.3	311
EOG092C07CA	Complete	scaffold_397	4486	9884	497.3	745
EOG092C08KH	Complete	scaffold_307	17657	22558	1180.5	865
EOG092C097K	Complete	scaffold_4	61380	64810	774.0	605
EOG092C0B3U	Fragmented	scaffold_125	28749	31606	240.3	372
EOG092C0BAH	Complete	scaffold_67	66551	71689	873.4	767
EOG092C0BPW	Complete	scaffold_49	21335	28301	434.2	434
EOG092C0C5J	Complete	scaffold_35	46448	50122	1139.6	876
EOG092C0C7Z	Missing
EOG092C0CHR	Complete	scaffold_119	27423	30937	1196.1	798
EOG092C0CZK	Complete	scaffold_62	51627	57673	423.5	665
EOG092C0F0X	Complete	scaffold_13	72158	75824	848.3	682
EOG092C0I1P	Complete	scaffold_6	120882	124300	962.4	556
EOG092C0JYF	Complete	scaffold_7	32813	37547	400.6	633
EOG092C0K4D	Complete	scaffold_305	3099	6516	676.4	688
EOG092C0KG1	Complete	scaffold_332	10314	12746	348.1	582
EOG092C0KYA	Complete	scaffold_27	82694	87760	237.1	249
EOG092C0N3X	Complete	scaffold_147	35398	38738	597.7	519
EOG092C0OA7	Complete	scaffold_58	30990	34916	256.5	493
EOG092C0P21	Complete	scaffold_148	37055	40006	1028.0	737
EOG092C0QZM	Complete	scaffold_154	3839	12396	790.0	724
EOG092C0RGR	Complete	scaffold_130	47255	50834	632.4	658
EOG092C0ROF	Missing
EOG092C0ST1	Complete	scaffold_26	24129	26201	1000.0	595
EOG092C0TYK	Complete	scaffold_220	4174	6990	252.3	258
EOG092C0U5S	Complete	scaffold_16	115419	119024	480.7	535
EOG092C0UR7	Fragmented	scaffold_71	11232	17490	453.9	336
EOG092C0VEN	Complete	scaffold_234	5408	8997	614.9	512
EOG092C0WBD	Complete	scaffold_332	13287	16023	610.8	485
EOG092C0WZC	Complete	scaffold_105	16912	19890	369.9	386
EOG092C0XD0	Complete	scaffold_49	8514	11906	261.2	279
EOG092C0Y9M	Missing
EOG092C0YZZ	Complete	scaffold_688	496	3541	767.1	471
EOG092C0ZT0	Complete	scaffold_231	352	3021	471.7	437
EOG092C11L7	Complete	scaffold_54	7067	10321	600.1	439
EOG092C11NN	Complete	scaffold_289	13527	15448	934.3	529
EOG092C121R	Complete	scaffold_5	142099	144847	594.1	553
EOG092C12O0	Complete	scaffold_81	26933	28979	765.5	452
EOG092C12WO	Missing
EOG092C19ZG	Complete	scaffold_168	16322	22100	1247.5	898
EOG092C1AHP	Complete	scaffold_41	64715	69456	134.9	339
EOG092C1F4W	Complete	scaffold_183	36198	38424	913.7	458
EOG092C1FRM	Complete	scaffold_36	43937	46579	304.1	396
EOG092C1ILX	Complete	scaffold_174	13480	20190	161.5	198
EOG092C1JHE	Missing
EOG092C1KCQ	Complete	scaffold_290	21847	24168	597.1	440
EOG092C1KNC	Fragmented	scaffold_10	74618	79865	253.5	223
EOG092C1M1S	Complete	scaffold_84	636	7124	422.1	474
EOG092C1O5L	Complete	scaffold_6	12610	15574	679.6	510
